split,year,team_name,wins,losses,num_games,win_percentage
vs. FBS Power 5,2012,Akron,0,1,1,0.0
vs. FBS non-Power 5,2012,Akron,0,10,10,0.0
in August/September,2012,Akron,1,4,5,0.2
in October,2012,Akron,0,4,4,0.0
in November,2012,Akron,0,3,3,0.0
in December/January,2012,Akron,0,0,0,
All Games,2013,Akron,5,7,12,0.4166666666666667
at Home,2013,Akron,3,3,6,0.5
on Road/Neutral Site,2013,Akron,2,4,6,0.3333333333333333
vs. Conference,2013,Akron,4,4,8,0.5
vs. Non-Conference,2013,Akron,1,3,4,0.25
vs. Ranked (AP),2013,Akron,0,1,1,0.0
vs. Unranked (AP),2013,Akron,5,6,11,0.45454545454545453
vs. FBS (I-A),2013,Akron,4,7,11,0.36363636363636365
vs. FCS (I-AA),2013,Akron,1,0,1,1.0
vs. FBS Winning,2013,Akron,1,7,8,0.125
vs. FBS Non-Winning,2013,Akron,3,0,3,1.0
vs. BCS AQ,2013,Akron,0,2,2,0.0
vs. BCS non-AQ,2013,Akron,4,5,9,0.4444444444444444
vs. FBS Power 5,2013,Akron,0,1,1,0.0
vs. FBS non-Power 5,2013,Akron,4,6,10,0.4
in August/September,2013,Akron,1,4,5,0.2
in October,2013,Akron,1,3,4,0.25
in November,2013,Akron,3,0,3,1.0
in December/January,2013,Akron,0,0,0,
All Games,2014,Akron,5,7,12,0.4166666666666667
at Home,2014,Akron,4,2,6,0.6666666666666666
on Road/Neutral Site,2014,Akron,1,5,6,0.16666666666666666
vs. Conference,2014,Akron,3,5,8,0.375
vs. Non-Conference,2014,Akron,2,2,4,0.5
vs. Ranked (AP),2014,Akron,0,1,1,0.0
vs. Unranked (AP),2014,Akron,5,6,11,0.45454545454545453
vs. FBS (I-A),2014,Akron,4,7,11,0.36363636363636365
vs. FCS (I-AA),2014,Akron,1,0,1,1.0
vs. FBS Winning,2014,Akron,0,3,3,0.0
vs. FBS Non-Winning,2014,Akron,4,4,8,0.5
vs. BCS AQ,2014,Akron,1,1,2,0.5
vs. BCS non-AQ,2014,Akron,3,6,9,0.3333333333333333
vs. FBS Power 5,2014,Akron,1,1,2,0.5
vs. FBS non-Power 5,2014,Akron,3,6,9,0.3333333333333333
in August/September,2014,Akron,2,2,4,0.5
in October,2014,Akron,2,2,4,0.5
in November,2014,Akron,1,3,4,0.25
in December/January,2014,Akron,0,0,0,
All Games,2015,Akron,8,5,13,0.6153846153846154
at Home,2015,Akron,3,3,6,0.5
on Road/Neutral Site,2015,Akron,5,2,7,0.7142857142857143
vs. Conference,2015,Akron,5,3,8,0.625
vs. Non-Conference,2015,Akron,3,2,5,0.6
vs. Ranked (AP),2015,Akron,0,1,1,0.0
vs. Unranked (AP),2015,Akron,8,4,12,0.6666666666666666
vs. FBS (I-A),2015,Akron,7,5,12,0.5833333333333334
vs. FCS (I-AA),2015,Akron,1,0,1,1.0
